[33m2024/01/20 16:42:26 468012	WARNING [thread_safe_buffer.hpp->push:154]	Pushing to a full ThreadSafeBuffer of type: World

[m[33m2024/01/20 16:42:26 468836	WARNING [thread_safe_buffer.hpp->push:154]	Pushing to a full ThreadSafeBuffer of type: World

[m/tmp/tbots/thunderscope-profile/2024-01-20 16-42-25

name           id     tid              ttot      scnt        
Thread         25     140199199761984  0.000018  1         
Thread         50     140197555578432  0.000018  1         
Thread         31     140198671283776  0.000018  1         
Thread         78     140196901209664  0.000017  1         
Thread         100    140196716570176  0.000017  1         
Thread         88     140196817282624  0.000017  1         
Thread         90     140196800497216  0.000017  1         
Thread         70     140196968351296  0.000016  1         
Thread         96     140196750140992  0.000016  1         
Thread         98     140196733355584  0.000016  1         
Thread         94     140196766926400  0.000016  1         
Thread         35     140198637712960  0.000016  1         
Thread         68     140196985136704  0.000015  1         
Thread         66     140197001922112  0.000014  1         
Found target //software/thunderscope:thunderscope_main with confidence 90
bazel run //software/thunderscope:thunderscope_main --copt=-O3 --
